"Branch Name","Address","City","State","Zip Code","County","Application Number","Application Type","Action","Action Date","Comment Period End Date","URL"
"51304 Orion Township BC","4491 Interpark","Auburn Hills","MI","48326","Oakland","2026-BranchClosing-346068","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346068&FilingSubtypeID=1007"
"01708 Okemos BC","4815 Okemos Road","Okemos","MI","48864","Ingham","2026-BranchClosing-346069","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346069&FilingSubtypeID=1007"
"02885 Palmetto Park BC","120 E. Palmetto Park Road","Boca Raton","FL","33432","Palm Beach","2026-BranchClosing-346070","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346070&FilingSubtypeID=1007"
"PLAINFIELD BRANCH","4065 PLAINFIELD AVENUE NORTHEAST","GRAND RAPIDS","MI","49525","Kent","2026-BranchClosing-346071","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346071&FilingSubtypeID=1007"
"PLEASANT RIDGE BRANCH","24028 WOODWARD AVENUE","PLEASANT RIDGE","MI","48069","Oakland","2026-BranchClosing-346072","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346072&FilingSubtypeID=1007"
"ROCHESTER-AVON BRANCH","923 SOUTH ROCHESTER ROAD","ROCHESTER","MI","48307","Oakland","2026-BranchClosing-346073","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346073&FilingSubtypeID=1007"
"05217 Taylor BC","9691 Telegraph Road","Taylor","MI","48180","Wayne","2026-BranchClosing-346074","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346074&FilingSubtypeID=1007"
"00437 Telegraph and Maple BC","6801 Telegraph Road","Bloomfield Hills","MI","48301","Oakland","2026-BranchClosing-346075","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346075&FilingSubtypeID=1007"
"01706 Seminole Rd BC","710 Seminole Road","Norton Shores","MI","49441","Muskegon","2026-BranchClosing-346076","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346076&FilingSubtypeID=1007"
"SYLVAN LAKE BRANCH","2340 ORCHARD LAKE ROAD","KEEGO HARBOR","MI","48320","Oakland","2026-BranchClosing-346077","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346077&FilingSubtypeID=1007"
"TWENTY THREE MILE-MOUND BRANCH","50955 MOUND ROAD","UTICA","MI","48317","Macomb","2026-BranchClosing-346078","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346078&FilingSubtypeID=1007"
"TWENTY ONE MILE-CARD BRANCH","21455 21 MILE ROAD","MACOMB","MI","48044","Macomb","2026-BranchClosing-346079","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346079&FilingSubtypeID=1007"
"WELLINGTON BRANCH","1037 SOUTH STATE ROAD 7, SUITE 117","WEST PALM BEACH","FL","33414","Palm Beach","2026-BranchClosing-346080","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346080&FilingSubtypeID=1007"
"05197 Van Dyke and 25 BC","54985 Van Dyke Avenue","Shelby Township","MI","48316","Macomb","2026-BranchClosing-346081","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346081&FilingSubtypeID=1007"
"DIXIE-DEER LAKE BRANCH","7505 DIXIE HIGHWAY","CLARKSTON","MI","48346","Oakland","2026-BranchClosing-346082","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346082&FilingSubtypeID=1007"
"COMERICA BANK TOWER","1717 MAIN STREET","DALLAS","TX","75201","Dallas","2026-BranchClosing-346083","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346083&FilingSubtypeID=1007"
"05216 Dodge Park BC","11555 Sixteen Mile Road","Sterling Heights","MI","48312","Macomb","2026-BranchClosing-346084","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346084&FilingSubtypeID=1007"
